,,,"Is the text inconsistent with the responses? [Yes, No (accepting near-consistency)]","Does the text exhibit a misunderstanding of a part of the instructions? [Yes, No]","Does the text exhibit an understanding of the difference between the two cases, either explicitly or implicitly? [Yes, No]","Is the text likely to be generated by ChatGPT or similar? [Yes, No]",
"(25, 45)","(7, 10)",middle,no,no,yes,no,"If you tell Alex the truth, then I think some extra cash would help ease the fact that he got fake notes. But if he doesn't know any better, then I don't think it matters too much either way, though I think there ought to be a preference for the original notes anyways."
"(10, 15)","(10, 15)",middle,no,no,yes,no,"If Alex either knows the true nature of the notes/ signatures, he may not be able to get anything more than a few bucks for the books, should he decide in the future to sell or pawn them.  If he decides to keep them, he won't be able to tell whether they are authentic (if he wasn't informed), and anyone buying the books won't be able to tell either.  Beyond that consideration, how much would he get for them...who really values signed books from prize-winning economists??"
"(25, 45)","(45, 70)",high,no,no,no,no,I want Alex to have the option to sell the books and make some decent cheddar.  If he has the original notes it seems like the books will have more value...if he is going to get a fake for sure then I want him to have some up front money.
"(140, 200)","(70, 100)",middle,no,no,no,no,"  If  the notes are fake than I want him to have a high bonus, because that would probably make him happy.  If the notes are real no bonus is necessary."
"(70, 100)","(70, 100)",low,no,no,yes,no,"I feel like he'd appreciate getting the real notes regardless of whether or not he knows it. he might be able to intuit that they're fake even if he doesn't know from prior knowledge. Also, since he loves economics so much, I doubt this guy is poor, so any bonus below 100 is likely meaningless to him."
"(0, 1)","(0, 1)",low,no,no,no,no,I felt like he deserved to just get the real ones in any case.
"(45, 70)","(45, 70)",low,no,no,yes,no,The extra money would probably be worth more to him than whether or not the notes weren't fake.
"(15, 25)","(15, 25)",low,no,no,no,no,"I would prefer the original notes rather than the fake ones and so I think Alex would too. However, since no one can tell that the fake notes are fake I think that $25 or more would be a nice bonus."
"(2, 3)","(2, 3)",middle,yes,no,no,no,Because I really want Alex to get the original notes.
"(200, inf)","(200, inf)",middle,no,no,yes,no,"I guess the matter of the notes being original or fake was more important to me than the bonus money. Obviously I don't know Alex's financial situation, but I don't like the idea of being dishonest about authenticity. Whether you told him that the books were original or fakes wasn't really important to me because the underlying question is the same in my mind: it's about being straight-forward. Giving him the books with the fake notes (whether or not he knows) just seems fundamentally dishonest to me and no amount of money magically makes that untrue. I just thought that giving him the originals, regardless of the money, was the option in both cases that maintained my integrity. "
"(200, inf)","(200, inf)",high,no,no,no,no,I think Alex deserves the books with real notes. Fake notes would be a bad thing. No money would pay for it.
"(-inf, -1)","(25, 45)",low,no,no,no,no,"I think the price I set at the beginning was too high, so I decided a slightly more reasonable value"
"(140, 200)","(140, 200)",middle,no,no,yes,no,I just want him to have the same gift and bonus regardless of what you tell Alex.
"(70, 100)","(70, 100)",low,no,no,yes,no,"Whether or not Alex is told which notes he got, I feel that he would value the books with the real notes almost to the level of $100. I would like for him to receive the books with the original notes as I know it would mean a lot to him, but at a certain point I think he'd prefer money."
"(140, 200)","(140, 200)",low,no,no,yes,no,It doesn't matter if he knows or not. I don't know a single person that couldn't use an extra $200
"(70, 100)","(0, 0)",low,no,no,yes,no,"If he has knowledge of which one is fake and real, then he should the original ones. If he's not able to find the knowledge of which one is fake or real, it really doesn't matter what he receives."
"(200, inf)","(200, inf)",middle,no,no,no,no,Books by experts in one's field of interest with notes from the author are more personally valuable than the bonuses offered.
"(200, inf)","(200, inf)",high,no,no,no,no,Because both his odds on getting real was 75%
"(0, 1)","(0, 0)",high,no,no,yes,no,I gave different answers because to me it mattered if he would be told which book he was getting and what his bonus would be.
"(-1, 0)","(0, 1)",low,no,no,no,no,I gave different responses because it would interesting to see different scenarios.
"(7, 10)","(7, 10)",high,no,no,yes,no,I did not find it particularly important if Alex will be informed or not about the notes.
"(0, 1)","(25, 45)",high,no,no,yes,no,he probably be blessed if he had no knowledge which one is fake or original
"(15, 25)","(25, 45)",middle,no,no,yes,no,Just because of the difference in knowing and not knowing they are real original or not.
"(70, 100)","(45, 70)",middle,no,no,yes,no,"in Case 2, since he will not be told, I placed a lower threshold to the cash amount simply because of the uncertainty involved. I chose a monetary value that I felt reflected the 'uncertainty' premium."
"(3, 5)","(0, 0)",high,no,no,yes,no,I made different choices based on whether or not Alex would learn if the notes were genuine.
"(70, 100)","(70, 100)",middle,no,yes,no,no,"I didn't give different responses. At least not for which books I'd prefer Alex to have, unless I clicked something wrong. "
"(45, 70)","(45, 70)",middle,no,no,yes,no,"It didn't really matter to me whether Alex knew or not whether he got the original or fake notes. I was just trying to think how much value the original notes would have for him, and I felt that he would rather have the $70 rather than the original notes."
"(200, inf)","(200, inf)",high,no,yes,no,no,Because he will have the original notes no matter what that way. $200 isn't enough to receive fake notes
"(70, 100)","(0, 0)",low,no,no,yes,no,if they are real- he deserves to know. and would feel more valuable and authentic to him. but if fake- it's probably better to not really know the truth.
"(0, 1)","(-1, 0)",low,no,no,yes,no,I wanted Alex to know when he was told that he received the original. There is no value in them being fake in this case. When he is not told I wanted to align with the given assumption that they were fake.
"(140, 200)","(15, 25)",high,no,no,yes,no,The first case I thought just go ahead and give him a little cash since he will not ever know.  In the second case I was thinking he would want the books more so if he didn't  get them give him good lump of money to make up for it.
"(-inf, -1)","(1, 2)",high,yes,no,no,no,I looked at the bonus Alex would receive. I felt that a bonus with a fake note would be fair compensation.
"(70, 100)","(100, 140)",low,yes,no,yes,no,"I just felt like since Alex knew the notes were fake, he should receive a different level of compensation."
"(10, 15)","(0, 0)",middle,no,no,yes,no,I so no reason to tell him if the notes are fake or original. If he doesnt know it doesnt matter. If he will be told then its just best to be honest.
"(70, 100)","(45, 70)",middle,no,no,yes,no,"If Alex is not knowledgeable about whether the notes are real or not, and cannot find out, he would probably rather have the money. I perceive having original notes from the authors as having some value for Alex, so knowing if they are real or not has value to him."
"(0, 1)","(0, 0)",high,no,no,no,no,"I was really basing it on the fact that the notes are indistinguishable. Since they are for all intents and purposes the same, I thought that it would be best to get the fake ones with a cash bonus. I probably should have went for a larger bonus, however."
"(0, 0)","(0, 0)",low,no,no,no,no,I really do not care whether a stranger gets the real or fake handwritten notes
"(70, 100)","(0, 1)",high,no,no,yes,yes," In Case 1, where Alex is informed about whether the books he got have original or fake notes, my response considered the impact of knowledge on Alex's actions. If he knows about the notes' authenticity, he can make informed decisions about using the money and the potential legal consequences. In Case 2, where Alex is not informed, my response focused on the immediate practical value of the money without considering potential ethical or legal implications, since he's unaware of the notes' nature. The differing responses stem from whether Alex's knowledge of the notes' authenticity affects his decision-making process."
"(200, inf)","(-1, 0)",low,no,no,yes,yes,"In Case 1 where Alex is not informed about whether the books contain original or fake notes, I provided a response that leans toward Alex being better off. This is because not knowing the authenticity allows him to enjoy the possibility of having genuine notes without the disappointment of finding out they're fake.    In Case 2, where Alex is informed about the authenticity, I suggested that he might be worse off. This is due to the potential disappointment he might feel upon discovering the books contain fake notes, which contrasts with the anticipation of receiving original ones.    The reasoning behind these responses is to consider the emotional impact and psychological factors associated with expectations and outcomes in each scenario."
"(70, 100)","(70, 100)",low,no,no,no,no,I thought about the value of the books with the notes and without the notes. I thought the books with the notes would be worth more. I also put myself in Alex's place and thought which one I would want more.
"(140, 200)","(25, 45)",low,no,no,yes,no,"If Alex is told they received the original notes, they would need to be compensated highly if receiving the fake notes."
"(200, inf)","(200, inf)",middle,no,no,no,no,"I can't think of anything worse than giving fake notes, if I wanted to give cash I would have.    I see the notes as MORE important than the books. "
"(200, inf)","(45, 70)",middle,no,no,yes,no,"I think it is right to give Alex books with original notes if he is aware that they are original, but if he is not aware, he can still appreciate the book and the extra tips"
"(25, 45)","(0, 1)",high,no,no,no,no,That is how I feel.
"(10, 15)","(10, 15)",low,no,yes,no,no,i wanted him to get the original notes
"(70, 100)","(45, 70)",middle,no,no,yes,no,I chose to give Alex the original notes for the majority because he loves economics and I think it would mean a lot to him. I chose the $100 mark for telling him because I think he would be appreciative of the special bonus. I chose the $70 mark for when he does not know because either way Alex would not know.
"(45, 70)","(-inf, -1)",low,no,no,yes,no,"On the one hand, I would like Alex to get an authentic version.  On the other hand, ignorance is bliss.  He might be better off just not knowing."
"(0, 0)","(0, 0)",low,no,no,no,no,"Since the fake notes are indistinguishable, I honestly don't think it matters if he's getting the book for free anyway. Also, it seems the bonus is higher with the fake notes. For myself, I would rather have money than a signature. "
"(0, 1)","(0, 0)",low,no,no,yes,no,I felt that not being told didn't really matter as much as being told whether he got the original or fake notes. I thought that it would be better to get the original if he did in fact know.
"(-1, 0)","(-1, 0)",middle,no,no,no,no,I chose the answer I did based solely on the bonus of $1.
"(70, 100)","(0, 0)",high,no,no,yes,no,"I believe Alex would like the extra cash so as the bonuses went up, I chose fake notes instead. "
"(200, inf)","(200, inf)",high,no,no,no,no,he loves economics and the value of the original author's notes is invaluable.
"(15, 25)","(45, 70)",low,no,no,no,no,"The probability of him getting the fake notes was higher in case 2, so I thought that should change the money he'd get"
"(200, inf)","(200, inf)",high,no,no,no,no,I'm assuming since Alex is such an economics fan he would appreciate the real notes over the cash payout.
"(0, 1)","(1, 2)",high,no,no,no,no,I wanted to be reasonable with the choices I made.
"(140, 200)","(-1, 0)",middle,no,yes,no,no,I thinks its a 50-50 chance.
"(200, inf)","(70, 100)",high,no,no,no,no,The increased dollar amount of the bonus affects my answer.
"(0, 1)","(0, 1)",middle,no,no,no,no,I FEEL ALEX WILL NEVER KNOW THE DIFFERENCE
"(200, inf)","(140, 200)",high,no,no,yes,no,"Since he will not know I figured $200 is a nice bonus for him.  On the other hand since he will know, I would be sure he would rather have the original notes instead of the $200."
"(70, 100)","(45, 70)",middle,no,no,no,no,"I feel like with his love for economics, if he knows that the copies he receives are not the originals, a higher compensation/bonus would make him feel better, or else, he'd probably prefer the original versions more. "
"(200, inf)","(200, inf)",middle,no,no,no,no,I would rather Alex receive the books with the original notes because ethically it feels like the right thing to do.
"(70, 100)","(1, 2)",high,no,no,yes,no,"I would think if Alex is none the wiser, they would probably prefer to have the books AND the money ."
"(3, 5)","(7, 10)",low,no,no,yes,no,Case 1 Alex won't know if he gets the fake notes so I figured I'll give him the money later so he gets a cash bonus.  Case 2 he will know if it's fake or not so I gave him the bonus money sooner than Case 1.
"(15, 25)","(10, 15)",middle,no,no,yes,no,I gave a larger amount in case 2 because Alex deserves a little more now that he knows the notes are fake.
"(0, 1)","(0, 1)",high,no,no,no,no,"because it doesnt matter to me what is going on with him, so i just went with the same answer for both because its not relavent to me what happens to him."
"(70, 100)","(70, 100)",high,no,no,no,no,Because I feel that the original notes would be a better outcome.
"(25, 45)","(25, 45)",low,no,no,no,no,I guess I'd just rather him get the originals because thats cooler and that's what I would want
"(0, 1)","(140, 200)",middle,yes,no,no,no,because I think he should get the highest paying bonus LOL
"(70, 100)","(200, inf)",middle,no,no,yes,no,"Honesty is the difference.  Not telling him, though it isn't lying since he knows it's a possibility, feels wrong to leave him with fakes he thinks might be real at any price.   Once he knows which is which it's a matter of value.  As I don't know how much he values money over genuine copies, I had to guess."
"(15, 25)","(70, 100)",high,no,no,yes,no,I think not telling Alex if the notes are fake or not as a negative.  So I think his bonus should be higher in Case 2.
"(25, 45)","(25, 45)",middle,no,yes,no,no,"The notes are worth something to someone who loves economics, but they're probably not worth more than the books themselves."
"(45, 70)","(25, 45)",low,no,no,yes,no,"In case 2, Alex does not know if the notes are real or fake.  I felt that the monetary reward should start a little bit earlier, since Alex will never know the truth about the notes.  I believe the real notes add some value to the books."
"(0, 0)","(0, 0)",high,no,no,no,no,"Well based off what I was told, the ""fake notes"" have to be equally as good. The professors couldn't even tell the fake notes from the real ones, so as long as they are of equal quality I don't think it matters much which he gets."
"(15, 25)","(15, 25)",low,no,no,no,no,I think $25 is a good point where the money would make the fake notes more worth it
"(-1, 0)","(-1, 0)",low,no,no,yes,no,By telling or not telling Alex about the fake or the original the possibility of him getting the fake books is high.
"(70, 100)","(70, 100)",low,no,no,yes,no,I think $100 is a nice little bonus no matter if he knows if they notes are fake or not. I think he would appreciate at least that amount knowing the notes are fake.
"(200, inf)","(200, inf)",middle,no,no,no,no,Honesty. Integrity. I don't understand the value of fake notes. It will mean nothing in the long run. The money has little meaning or value. I would rather have the real notes and no money than receive something fake like this.
"(7, 10)","(0, 0)",middle,no,no,yes,no,"in case 1 if he knows about the notes I think he will appreciate it, if he does not know there is no harm in not telling him."
"(200, inf)","(200, inf)",high,no,no,no,no,I think that Alex would prefer the original books with the notes inside rather than money.
"(45, 70)","(45, 70)",low,no,no,yes,no,"There just reaches a point, where the money being offered is worth taking, regardless of whether he is told which set he's receiving.  "
"(45, 70)","(45, 70)",middle,no,no,no,no,I believe that it would be in the best interest of Alex to receive the amount that is specified when receiving the fake notes.
"(70, 100)","(70, 100)",low,no,no,yes,no,"I just thought that, whether or not Alex knows if the notes are real, $100 would be the threshold at which the cash prize would tip the balance."
"(5, 7)","(5, 7)",low,no,no,yes,no,I feel like the original notes have the same value whether he learns or not.
"(200, inf)","(200, inf)",low,no,no,no,no,"I don't have a reason why I would not give Alex the original copies. I feel that the books have more sentiment with the original notes despite being indistinguishable from the fake ones. Also, the value for those books could increase if Alex chooses to sell them in the future."
"(45, 70)","(0, 0)",middle,no,no,yes,no,"Well, I think he would be happy in any case.    If he doesn't know whether it's a real dedication or not, that's better for him"
"(25, 45)","(25, 45)",high,no,no,yes,no,I think the financial bonus might be worth it for him not to know either way. He still believes there's a 75% chance they are real.
"(70, 100)","(70, 100)",high,no,yes,no,no,"I have no idea what you're even asking. Alex prefers the original books, but would probably prefer $100+ more. I don't know what you're asking"
"(200, inf)","(200, inf)",low,no,no,no,no,I believe that Alex deserves to receive the books with the original notes no matter what. This is only fair because this is part of what giving a gift is supposed to be about is being genuine.
"(0, 0)","(0, 0)",high,no,no,no,no,"I chose the response ""I am indifferent"" for both cases because the instructions provided suggest that Alex has a 75% chance of receiving the books with original notes in both cases. Since I do not have any additional information or preferences for Alex's situation, I am neutral regarding his choice between the original and fake notes."
"(0, 0)","(0, 1)",middle,no,no,no,no,"After thinking it over, I felt it was better to have a more ""surprise"" aspect in this case"
"(0, 1)","(0, 1)",high,no,no,yes,no,Because in both cases i prefer alex to receive original notes.
"(200, inf)","(200, inf)",middle,no,no,no,no,I believe it is very important to gift Alex the original copy since it is a gift. Presents ought to be original.
"(200, inf)","(200, inf)",high,no,no,no,no,Alex loves economics and admires these professors. I think he would rather have the original notes than fake notes and any amount of money.
"(7, 10)","(0, 1)",middle,no,no,yes,no,"I just figure that if he got the fake notes and knew it, he should get something extra."
"(200, inf)","(70, 100)",middle,no,no,yes,no,"If Alex knew he were getting the fake or originals, I would want to give him the intended gift without wonder. The subject is something he feels strongly about, so he would appreciate the gift. If he didn't know one was or the other he might always wonder if he had an authentic thing or not."
"(2, 3)","(15, 25)",high,no,no,no,no,I tried to get the best options for the original signatures
"(45, 70)","(10, 15)",low,no,no,yes,no,"I think with the senario where he doesn't know if they are real, the bonus is more important. When he does know, the real one is more important."
"(0, 0)","(0, 1)",middle,no,no,yes,no,"Since Alex likes economics, I would prefer him to know and have the real notes. However, if he is aware upfront that the notes are fake, he would be mentally prepared for a fake note and a nice bonus."
"(1, 2)","(-1, 0)",low,no,no,no,no,I am very convinced about my answers
"(200, inf)","(140, 200)",high,no,no,no,no,"If he gets the fake notes, I'd rather he get the highest gift amount possible. If he gets the real notes, which I imagine would be his first choice anyway, it would be the best outcome."
"(-1, 0)","(15, 25)",high,no,no,no,no,I used my intuition
"(0, 1)","(-inf, -1)",low,no,no,yes,no,"If we don't tell Alex he should get the fake ones, if we tell Alex he should get the original notes because we told him"
"(7, 10)","(7, 10)",middle,no,no,no,no,"I don't see the point of the deception. With all involved, I think the best outcome is to have the genuine articles delivered to Alex."
"(200, inf)","(200, inf)",middle,no,no,no,no,"Having the original notes has a sort of essence behind them that are priceless. He would not know the difference, but consciously I would want for him only have the real thing. It would feel wrong to allow him to have the fake notes. "
"(200, inf)","(200, inf)",high,no,no,yes,no,"I am an avid reader of non-fiction books. I also place great value when getting a book autographed or otherwise signed, with a message, from the author. I prefer authenticity -- thus, I chose in both situations that Alex receive the books with the real notes from the authors. To me, that is of more value than the bonuses."
"(15, 25)","(15, 25)",middle,no,no,no,no,"I believe that Alex would prefer the genuine article. There is no rationale in withholding the original notes, and I believe he would be appreciative. "
"(70, 100)","(70, 100)",low,yes,no,no,no,I wanted Alex to have the best chance at getting the original notes.
"(140, 200)","(100, 140)",high,yes,yes,no,no,"I thought that I gave the same response for both so I'm confused.  If not, I did mean to give the same response.  I don't feel like giving fake copies regardless."
"(25, 45)","(70, 100)",low,no,no,yes,no,I feel like if he knew it would be better to give him less money. And when he doesn't know you should give him more money.
"(0, 0)","(0, 0)",low,no,no,no,no,"I truly didn't care either way. Alex is getting two books he is very interested in. To me, original note vs. fake doesn't diminish the gift of the books."
"(0, 1)","(0, 0)",low,no,no,yes,no,In the first case he didn't know so i said give the fake ones. The second case since he knew I gave the real ones to him.
"(0, 1)","(0, 1)",middle,no,no,no,no,I wanted him to read the real notes but if he got paid for reading the fake notes then I thought it would be best if he got the money
"(0, 1)","(-inf, -1)",middle,no,no,yes,no,"I thought Alex would be happier with getting original notes if he was told which one he would get. However if he wasn't told, then I think the fake notes are fine since the handwriting is indistinguishable from the original anyways."
"(25, 45)","(7, 10)",high,no,no,yes,no,I think Alex should get a larger bonus if he knows he is getting books with fake notes.
"(200, inf)","(200, inf)",low,no,no,no,no,I know Alex would prefer the original notes by the writer over cash.
"(7, 10)","(0, 1)",middle,no,yes,no,no,He wouldn't know the difference.
"(45, 70)","(15, 25)",low,no,no,yes,no,"If Alex was going to find out that the notes were fake, I wanted to ensure he at least received a monetary value that was equal to or greater than the value of the books with the original notes to ""make up for the fake notes"" in a sense. If Alex would never find out that the notes were fake, then any monetary amount just feels like a surprise bonus. There's more ignorance and less guilt involved."
"(0, 1)","(0, 1)",low,no,no,no,no,"I gave those answers because I thought it was the fairest thing to do. Whether they're original or doesn't matter since they're almost the same, it was probably better to get the extra dollar.  "
"(15, 25)","(-1, 0)",middle,no,no,no,no,"I figure Alex would really like to have the original notes, but that 25$ was probably enough money that he wouldn't mind having identical, fake notes. If he could get the original plus a dollar, great!"
"(25, 45)","(140, 200)",high,yes,no,no,no,I highly prefer he get the original notes.
"(15, 25)","(10, 15)",high,no,no,yes,no,I wanted to take a higher amount of money since Alex might found out that he got the fake notes.
"(7, 10)","(3, 5)",low,no,no,yes,no,"If he knows they are fake notes, than I wanted to reward a higher bonus.  If he doesn't know if they are real or fake then I gave a lesser bonus."
"(200, inf)","(200, inf)",high,no,no,no,no,"I want him to have the real notes because I feel like that is something important to him, since he loves economics. I don't think giving him money is necessary or appropriate."
"(25, 45)","(10, 15)",high,no,no,yes,no,I thought the bonus can be smaller when Alex doesn't know if the notes are the original ones or the fake ones.
"(200, inf)","(0, 0)",middle,no,no,yes,no,"If he knows, then that would mean more to him.  I would want him to have the original notes.  If he will never know, then it really doesn't really matter."
"(70, 100)","(70, 100)",middle,no,no,no,no,"I believe that it is most important for Alex to receive the original notes as often as possible, but I believe that the monetary compensation for the last three options is high enough to possibly justify giving him the fake notes."
"(0, 1)","(0, 0)",high,yes,no,no,no,I chose fake notes plus $1 to maximize the bonus.  He can read the books and ignore the notes.
"(200, inf)","(45, 70)",middle,no,no,yes,no,"In Case 1, I figured he wouldn't know, so I thought it would be okay to give him the fake notes but let him get a big surprise with the money. I figured anything below the amount I chose would not be fair to give him the fake notes. In Case 2, he would know they were fake. I figured no amount of money would make up for the fake notes to him."
"(25, 45)","(25, 45)",middle,no,no,no,no,I think Alex would like the books with the real notes.  But if the bonus is high enough I think he would choose the fake notes.
"(200, inf)","(140, 200)",high,no,no,yes,no,If Alex learned about whether the book was real or fake then he would know their was a chance that I chose a fake for him. It seems that he would really like an original so I felt in Case 1 I would want to give him the original notes copy. In Case 2 where he will never know I felt that 200 dollars would be a fair trade for him to have fake notes.
"(5, 7)","(0, 0)",low,no,no,yes,no,"IF he is told, and knows it's fake he'll be sad, but if he isn't and it's fake, he might still imagine they are real, and enjoy it anyway."
"(15, 25)","(15, 25)",middle,no,no,yes,no,"Either way, I think he would most appreciate the real notes. Even though he won't know if you don't tell him, I would want him to have the real ones. "
"(0, 0)","(0, 0)",low,no,no,yes,no,Because he still has a 75% changes that he will get books with the fake notes no matter if we tell him or not.
"(25, 45)","(15, 25)",high,no,no,no,no,"I felt that with a sufficient amount of bonus money, I could tell Alex that it is something he could invest and grow. I felt that, even if the notes weren't the originals, they'd still be somewhat special, coming from a friend."
"(7, 10)","(0, 1)",high,no,no,yes,no,"Because I figure if he knows whether he received the original notes, then about $10 would be the threshold for what I'd feel good about receiving instead of the original notes."
"(100, 140)","(70, 100)",low,no,no,yes,no,"I feel that in case 1 Alex would have a shot at getting the real notes but he would not be certain, in case two he would be certain.  I wanted to give a higher money award in the case that he was not certain to make him feel better. "
"(15, 25)","(7, 10)",middle,no,no,yes,no,"If he knew the notes were fake, i would want him to have a higher bonus so he would be less disappointed.  "
"(70, 100)","(45, 70)",middle,no,no,yes,no,"I felt that if he could tell the difference, he deserved slightly more money in those cases. It is inconsistent, I know, but it was how I felt about it."
"(15, 25)","(10, 15)",high,no,no,yes,no,"In Case 2, I feel what he doesn't know won't hurt him, and why not give him $15.  This is entirely subjective on my part.  If he does now and then also gets $25, I feel he will feel he is 'in on it' and be okay with the fakes and the money."
"(0, 0)","(0, 0)",middle,no,no,no,no,I thought it was a difficult assessment to make. There were pros and cons to both.
"(45, 70)","(0, 0)",low,no,no,yes,no,"He may not value the books less if he doesn't know whether they are fake or real notes. However, if he was told that he received fake notes, he may value the books less. "
"(25, 45)","(45, 70)",high,no,no,yes,no,"I gave the lower monetary bonus for receiving the fake notes, but informing Alex, because he is aware in this case of what he is getting.  I upped the bonus for the fake notes in this scenario to compensate for the lack of certainty regarding authenticity."
"(70, 100)","(25, 45)",low,no,no,no,no,"I would prefer he get the real notes, but for a large sum of money I assume he will be satisfied with fake notes"
"(45, 70)","(0, 0)",low,no,no,yes,no,"It seems to me that if Alex knows that his notes are fake, because he is told they are, then it makes sense to compensate him somehow for that knowledge. If he enjoys economics, he may not appreciate fake notes. So the monetary compensation is to somehow well, compensate, for this feeling of receiving the fake versus real notes. "
"(15, 25)","(-1, 0)",low,no,no,yes,no,"If he doesn't know what book he is going to get, and he thinks there is a 75% chance it is fake notes, then it doesn't make sense to give him the original notes books "
"(200, inf)","(25, 45)",middle,no,no,yes,no,"If Alex knows whether he gets the fakes or not, he deserves a guarantee that he will get them as he is such a big fan. In contrast, if he doesn't know one way or the other then I think it is okay to give him the fake copy if he receives a significant payment along with it."
"(0, 1)","(0, 1)",middle,no,no,yes,no,I prefer to give the same outcome despite the knowledge of each case as I find it more desirable to give those outcomes with or without further knowledge of the original/copy.
"(5, 7)","(-inf, -1)",high,no,yes,no,no,I did it after judging the provided information. I also think it would be good. Form the information it was clear that he would not know which book got.
"(70, 100)","(25, 45)",low,no,no,yes,no,I feel Alex would be delighted to get these two books but also a disappointment if he finds out the notes were fake. He may just be under the impression that they were real the whole time.
"(140, 200)","(140, 200)",middle,no,no,no,no,Because I want the best for him.I think my answers reflect that.
"(70, 100)","(15, 25)",low,no,no,yes,no,"Would strongly prefer to give Alex the books with the real notes in them as he would value them.  But then, on the other hand, he wouldn't know the difference and the notes remain the same, regardless of who wrote them.  Unless Alex plans to sell the books at a later date and market them as ""real"" notes, it doesn't matter which books he gets."
"(200, inf)","(140, 200)",low,no,no,yes,no,"I think that Alex my appreciate the authentically noted books much more than the fakes or money.  In the case that he is told whether they are fake I want to give the highest chances for him receiving the genuinely signed books.  In the case where he will never know, I thought it would still be nice to get him the originally signed books, but I also thought that maybe $200 would be a nice consulation."
"(140, 200)","(140, 200)",low,no,no,no,no,I think he would prefer original notes.  And if not he gets the highest payout with the fake ones.
"(70, 100)","(25, 45)",middle,no,no,yes,no,"If Alex DID know whether or not the notes were fake, I believe he'd prefer the authentic book over a high bonus. If the other case is true, it doesn't really matter what Alex thinks about it, so I lowered the threshold for the bonus."
"(0, 1)","(0, 0)",high,no,yes,no,no,When putting money into the equation in kind of changed the way the question reads.
"(200, inf)","(15, 25)",high,no,no,yes,no,"In Case 1, I can only really justify giving the books with the fake notes (given that he is likely to believe they are real) if there's a reasonably high extra bonus attached, in this case about as much as the cost of the book itself. In Case 2, I am not willing to lie to Alex under any circumstance, and won't give him fake notes."
"(25, 45)","(25, 45)",low,no,no,yes,no,"I feel like Alex knowing whether or not the notes are real or not should be independent of what he should be getting. If the notes are fake, he should also receive a larger special gift to go with it."
"(0, 0)","(45, 70)",high,no,no,yes,no,"I responded differently because the situations in Case 1 and Case 2 were distinct. In Case 1, there is a maybe, maybe not preference, while in Case 2, the response depended on the outcome of Alex obtaining original signature books for the bonus to offset costs."
"(100, 140)","(100, 140)",high,no,no,no,no,Regardless if he knows i feel like the value would be the same to him
"(15, 25)","(7, 10)",middle,no,no,no,no,Chose a higher amount for Case 1 because that is where I thought the value was better than the genuine notes.  There was less to lose in Case 2 so I chose a lesser amount.
"(0, 1)","(-1, 0)",high,no,no,no,no,It was a gut instinct. I just felt it was better to go with what I felt during that time.
"(7, 10)","(0, 0)",middle,no,yes,no,no,I just wanted to switch it up. Sometimes I wanted him to know and then other times I thought it would not make a difference.
"(45, 70)","(25, 45)",high,no,no,no,no,I would want Alex to receive the original notes.
"(200, inf)","(200, inf)",middle,no,no,yes,no,I just believe the real notes are more meaningful and so I stick by my decision to give Alex the real ones regardless of the circumstances. The only way I would deviate from this is if I could ask Alex what they would want.
"(0, 0)","(0, 0)",high,no,no,no,no,It is indistinguishable which is which in either cause because they look exactly the same.
"(25, 45)","(0, 1)",low,no,no,yes,no,"I assume that Alex probably places some value on having the real notes that exceeds the value he would place on the fake notes. I assume that Alex knowing for certain that he got fake notes would be worse than being uncertain, despite his being aware of the statistical likelihood of the notes being fake. For that reason, I decided to place more value on him being able to be certain as to whether or not he got real vs. fake notes."
"(0, 1)","(0, 1)",middle,no,no,no,no,"Since it's the start of the study, I wanted to start this way. "
"(10, 15)","(3, 5)",low,no,no,yes,no,I feel like if Alex doesn't find out if he had an original or not then he will be happy with a lower bonus and assume that he did not get original notes. If Alex was going to find out if he had original or fakes then I tried to pick a bonus that he would not be disappointed with despite getting fake notes.
"(1, 2)","(1, 2)",high,no,yes,no,no,"There is a large chance he would get the original notes and even though at first I chose original notes for Alex, I started thinking that he will probably get them anyway so he may as well get some money with the fake notes if he does get the fake ones.  "
"(15, 25)","(0, 1)",high,no,no,yes,no,In case 1 we didn't tell him the notes were real or fake. In case 2 we did let him know which one is real or fake.
"(1, 2)","(1, 2)",low,no,no,no,no,I think he should get the books with the real notes.
"(0, 1)","(0, 1)",middle,no,no,no,no,I thought he would enjoy the real ones.
"(70, 100)","(0, 0)",high,no,no,yes,no,"In the case where Alex WILL be told whether the books are the ones with original or fake notes, I would prefer he receive the books with the original notes, so that he will not be left feeling disappointed.  In case 2 he won't be told, so it's likely he will just assume he received the books with the original notes since there was a 75% chance of that, even if he does not.  He won't be disappointed because he will not know they are not the books with the original notes. "
"(200, inf)","(200, inf)",middle,no,no,yes,no,"Whether Alex knows or does not know, for sure, if the notes are original, I believe that the books with the ""original"" notes would be worth the 200 dollar surprise as well as any other lower compensation. "
"(70, 100)","(70, 100)",low,no,no,no,no,"I believe he would value the original notes up to a point..the point being 100 dollars and up. If he is at Carnegie Melon I can assume he doesn't need the money per se, but still it is a 100+dollars on this ECONOMY (his study)"
"(70, 100)","(1, 2)",high,no,no,yes,no,"If he doesn't know he's getting the fake notes, he should be ""compensated"" with any of the bonuses. But if he does know, and it turns out he's getting fake notes, he should get a large bonus."
